Unnamed: 0,direc,y_x,score
0,48RVT_32_times_32,S2B_MSIL2A_20230131T033959_R061_T48RVT_20230131T223231_visual_32_19,0.41593233
1,48RVT_32_times_32,S2B_MSIL2A_20230131T033959_R061_T48RVT_20230131T223231_visual_31_5,0.38371828
2,48RVT_32_times_32,S2B_MSIL2A_20230131T033959_R061_T48RVT_20230131T223231_visual_2_9,0.41841123
3,48RVT_32_times_32,S2B_MSIL2A_20230131T033959_R061_T48RVT_20230131T223231_visual_7_20,0.5384591
4,48RVT_32_times_32,S2B_MSIL2A_20230131T033959_R061_T48RVT_20230131T223231_visual_16_30,0.42389366
5,48RVT_32_times_32,S2B_MSIL2A_20230131T033959_R061_T48RVT_20230131T223231_visual_2_27,0.4176171
6,48RVT_32_times_32,S2B_MSIL2A_20230131T033959_R061_T48RVT_20230131T223231_visual_8_15,0.56783897
7,48RVT_32_times_32,S2B_MSIL2A_20230131T033959_R061_T48RVT_20230131T223231_visual_26_15,0.41932315
8,48RVT_32_times_32,S2B_MSIL2A_20230131T033959_R061_T48RVT_20230131T223231_visual_6_24,0.43271604
9,48RVT_32_times_32,S2B_MSIL2A_20230131T033959_R061_T48RVT_20230131T223231_visual_26_4,0.4987732
10,48RVT_32_times_32,S2B_MSIL2A_20230131T033959_R061_T48RVT_20230131T223231_visual_25_32,0.46118498
11,48RVT_32_times_32,S2B_MSIL2A_20230131T033959_R061_T48RVT_20230131T223231_visual_7_2,0.41721973
12,48RVT_32_times_32,S2B_MSIL2A_20230131T033959_R061_T48RVT_20230131T223231_visual_32_12,0.42753875
13,48RVT_32_times_32,S2B_MSIL2A_20230131T033959_R061_T48RVT_20230131T223231_visual_27_19,0.4166091
14,48RVT_32_times_32,S2B_MSIL2A_20230131T033959_R061_T48RVT_20230131T223231_visual_25_30,0.41840547
15,48RVT_32_times_32,S2B_MSIL2A_20230131T033959_R061_T48RVT_20230131T223231_visual_26_2,0.45947924
16,48RVT_32_times_32,S2B_MSIL2A_20230131T033959_R061_T48RVT_20230131T223231_visual_26_30,0.48056114
17,48RVT_32_times_32,S2B_MSIL2A_20230131T033959_R061_T48RVT_20230131T223231_visual_1_31,0.42258462
18,48RVT_32_times_32,S2B_MSIL2A_20230131T033959_R061_T48RVT_20230131T223231_visual_17_2,0.426579
19,48RVT_32_times_32,S2B_MSIL2A_20230131T033959_R061_T48RVT_20230131T223231_visual_14_13,0.41779524
20,48RVT_32_times_32,S2B_MSIL2A_20230131T033959_R061_T48RVT_20230131T223231_visual_30_30,0.4230362
21,48RVT_32_times_32,S2B_MSIL2A_20230131T033959_R061_T48RVT_20230131T223231_visual_8_16,0.57703537
22,48RVT_32_times_32,S2B_MSIL2A_20230131T033959_R061_T48RVT_20230131T223231_visual_16_21,0.42275196
23,48RVT_32_times_32,S2B_MSIL2A_20230131T033959_R061_T48RVT_20230131T223231_visual_8_3,0.42529842
